"source","target","width_layout"
311,160,1.59527146816254
311,327,1.87326610088348
311,314,1.59527146816254
311,538,1.59527146816254
312,322,1.55308878421783
312,377,1.48545706272125
312,293,1.63524401187897
313,321,1.77585875988007
313,322,1.55308878421783
313,177,1.52370345592499
313,312,1.55308878421783
313,327,1.77585875988007
314,327,1.77585875988007
314,321,1.69140219688416
314,480,1.48545706272125
315,261,1.77585875988007
315,244,1.52370345592499
315,741,1.56538987159729
315,727,1.52370345592499
315,311,1.52370345592499
316,61,1.40754520893097
317,523,1.26157450675964
318,480,1.77585875988007
318,322,1.69140219688416
318,319,1.48545706272125
318,405,1.66076064109802
318,497,1.55308878421783
319,480,1.48545706272125
320,454,1.77585875988007
321,322,1.69140219688416
322,454,1.55308878421783
322,605,1.95649695396423
322,497,1.55308878421783
322,480,1.69140219688416
323,454,1.70918297767639
325,480,1.48545706272125
325,318,1.48545706272125
327,324,1.59527146816254
327,126,1.59527146816254
327,321,1.95649695396423
327,480,1.77585875988007
327,325,1.48545706272125
327,318,1.48545706272125
327,322,1.69140219688416
328,755,1.53718495368958
330,539,1.64927959442139
330,484,1.59527146816254
330,56,1.50204980373383
330,545,1.50204980373383
330,172,1.64927959442139
330,799,1.47636461257935
330,382,1.59527146816254
330,654,1.47851359844208
330,653,1.64927959442139
330,546,1.56029164791107
336,235,1.36004531383514
336,390,1.2478358745575
337,327,1.46165382862091
339,416,1.36004531383514
340,339,1.21820867061615
341,124,1.42478585243225
342,341,1.42478585243225
343,307,1.46165382862091
343,334,1.36004531383514
345,344,1.36004531383514
346,767,1.66076064109802
348,64,1.69140219688416
348,479,1.47636461257935
348,458,1.47636461257935
349,61,1.50860917568207
350,83,1.46672606468201
351,857,1.42478585243225
353,250,1.36004531383514
353,768,1.55308878421783
354,152,1.59527146816254
354,4,1.57212233543396
354,391,1.59527146816254
355,3,1.25847041606903
355,376,1.50860917568207
357,185,2.46231412887573
357,151,1.75436913967133
357,184,1.75436913967133
357,21,1.82652735710144
357,191,1.89529526233673
357,192,1.75572264194489
357,765,2.10989618301392
357,762,1.88136494159698
357,809,1.51687717437744
357,802,1.86028361320496
357,764,1.72076821327209
357,78,1.58145153522491
357,482,1.90502786636353
357,614,1.80400621891022
357,22,2.27524662017822
357,150,1.56538987159729
357,759,1.4932256937027
357,143,1.4932256937027
357,763,1.98158001899719
357,393,1.94084393978119
357,760,1.80400621891022
357,803,1.72076821327209
357,758,1.67033064365387
357,761,2.19447374343872
357,144,1.4932256937027
357,613,1.56538987159729
